index,time,type,process,f,value,error,time_seconds,time_diff_seconds
263,4083185715,invoke,3.0,read,0,,4.083185715,0.0034717210000003718
264,4084126896,invoke,4.0,read,0,,4.084126896,0.0009411809999999576
265,4085319230,invoke,0.0,read,0,,4.08531923,0.0011923339999997395
266,4086917964,ok,1.0,read,0,,4.086917964,0.0015987340000007677
267,4087063287,invoke,8.0,cas,0,,4.087063287,0.0001453229999999195
268,4089432666,ok,9.0,write,0,,4.089432666,0.002369379000000116
269,4089618494,invoke,1.0,read,0,,4.089618494,0.00018582799999933286
270,4090251172,ok,3.0,read,0,,4.090251172,0.0006326780000005527
271,4090314384,invoke,3.0,read,0,,4.090314384,6.321199999970162e-05
272,4090661770,invoke,9.0,write,0,,4.09066177,0.0003473859999996165
273,4093199775,invoke,5.0,cas,0,,4.093199775,0.002538005000000787
274,4095701619,fail,7.0,cas,0,,4.095701619,0.002501843999999309
275,4095829152,invoke,7.0,write,0,,4.095829152,0.0001275330000005681
276,4098661576,ok,1.0,read,0,,4.098661576,0.0028324239999992784
277,4098833912,invoke,1.0,read,0,,4.098833912,0.00017233600000032823
278,4103227676,ok,8.0,cas,0,,4.103227676,0.004393764000000466
279,4103600726,ok,0.0,read,0,,4.103600726,0.0003730499999994308
280,4103758913,invoke,0.0,read,0,,4.103758913,0.00015818700000025387
281,4104725089,invoke,8.0,write,0,,4.104725089,0.0009661760000003738
282,4108416938,ok,7.0,write,0,,4.108416938,0.0036918489999999693
283,4108632745,invoke,7.0,cas,0,,4.108632745,0.0002158070000000123
284,4109943116,ok,2.0,read,0,,4.109943116,0.0013103709999997548
285,4110023758,invoke,2.0,read,0,,4.110023758,8.064199999946453e-05
286,4110816479,ok,9.0,write,0,,4.110816479,0.0007927210000007179
287,4111766254,ok,4.0,read,0,,4.111766254,0.0009497749999995975
288,4111944421,ok,3.0,read,0,,4.111944421,0.00017816699999961827
289,4112027676,invoke,9.0,cas,0,,4.112027676,8.325500000072594e-05
290,4116200163,fail,5.0,cas,0,,4.116200163,0.004172486999999947
291,4116686064,fail,6.0,cas,0,,4.116686064,0.00048590099999934466
292,4116768070,invoke,3.0,read,0,,4.11676807,8.200600000041192e-05
293,4118895066,ok,0.0,read,0,,4.118895066,0.002126996000000325
294,4118951472,ok,1.0,read,0,,4.118951472,5.640599999967577e-05
295,4119007443,invoke,0.0,read,0,,4.119007443,5.5971000000099025e-05
296,4120760788,invoke,5.0,write,0,,4.120760788,0.0017533450000000173
297,4121200566,invoke,1.0,read,0,,4.121200566,0.0004397779999996132
298,4123701268,invoke,4.0,read,0,,4.123701268,0.0025007019999998548
299,4126313046,invoke,6.0,write,0,,4.126313046,0.002611778000000342
300,4126949854,fail,9.0,cas,0,,4.126949854,0.0006368080000003218
301,4128430945,fail,7.0,cas,0,,4.128430945,0.0014810909999996014
302,4129176150,invoke,7.0,cas,0,,4.12917615,0.0007452050000003041
303,4130164825,invoke,9.0,write,0,,4.130164825,0.0009886749999994393
304,4134313530,ok,0.0,read,0,,4.13431353,0.004148705000000419
305,4134471723,invoke,0.0,read,0,,4.134471723,0.00015819299999986214
306,4136871338,ok,4.0,read,0,,4.136871338,0.002399614999999855
307,4137013426,invoke,4.0,read,0,,4.137013426,0.00014208800000048427
308,4144436031,ok,3.0,read,0,,4.144436031,0.007422604999999471
309,4144732987,invoke,3.0,read,0,,4.144732987,0.00029695600000057
310,4147227686,ok,6.0,write,0,,4.147227686,0.002494698999999656
311,4147333369,invoke,6.0,write,0,,4.147333369,0.00010568300000013409
312,4148028998,ok,1.0,read,0,,4.148028998,0.0006956289999999754
313,4148461335,ok,9.0,write,0,,4.148461335,0.0004323370000003379
314,4148552093,invoke,9.0,write,0,,4.148552093,9.075799999980205e-05
315,4153693878,ok,0.0,read,0,,4.153693878,0.005141785000000176
316,4154294584,ok,8.0,write,0,,4.154294584,0.0006007059999992848
317,4154501139,fail,7.0,cas,0,,4.154501139,0.00020655500000010818
318,4154978705,ok,2.0,read,0,,4.154978705,0.0004775660000007065
319,4155206069,ok,5.0,write,0,,4.155206069,0.0002273639999996746
320,4155321634,invoke,5.0,write,0,,4.155321634,0.00011556499999976211
321,4158267115,invoke,0.0,read,0,,4.158267115,0.0029454810000002496
322,4159539990,ok,4.0,read,0,,4.15953999,0.001272874999999729
